Prompt,EA-bart-base,EA-t5-base,E-bart-base,E-t5-base
generate disgust: I felt,I felt a strong sense of disgust and disgust for the person who ran me over off road driving,I felt a lot of... when I saw someone else's face on the street. I,I felt like someone was watching me when they were eating with their mouth open,I felt ... when I saw a man beating up his girlfriend
generate disgust: I felt,I felt a strong sense of disgust for the person who had the most disgust in the world.,I felt a lot of... when I saw someone else's face on the street.,I felt like someone was watching me when i was eating lunch,I felt ... when I saw a homeless person being racially abusive to their family
generate disgust: I felt,I felt a strong sense of... when I saw the body of a dead decaying animal in the,I felt a lot of... when seeing someone else's face in public.,I felt like someone was watching me when i was eating with my mouth open,I felt ... when I saw a homeless man being racially abusive to his family
generate anger: I felt,I felt a lot of... when I was arrested as a teenager,I felt a lot of... when I saw my partner being abused.,I felt that my hard work has not been recognised or paid off,I felt ... when I saw my friend being cheated on
generate anger: I felt,I felt a little anger,I felt a lot of... when I saw someone else doing something I didn't like.,I felt ... when I was arrested as a teenager,I felt ... when i saw my friend being cheated on
generate anger: I felt,I felt ... when I was arrested as a teenager,I felt ... when a friend was being racially abusive to me.,I felt ... when I was used to fulfil someone’s certain purpose,I felt ... when I saw my girlfriend being cheated on
generate anger: I felt,I felt a small thing due to my own stresses at the time,I felt ... when a friend of mine was being abused.,I felt I had let down a friend ,I felt ... when I saw my partner being cheated on
generate anger: I felt,I felt ... due to how my reaction may have been received.,I felt a lot of... when I saw someone else's behaviour.,I felt I had wasted my time being with my partner when I was really young,I felt ... when I saw a friend being cheated on
generate sadness: I felt,I felt alone and my sadness,I felt ... when I read about the death of my father,I felt alone and exhausted in my bedroom while caring for my child,I felt ... when I read a book 
generate sadness: I felt,I felt alone and my sadness was mounting up.,I felt ... when I read about a family member who had recently passed away.,I felt alone and exhausted in her bedroom while watching a film ,I felt ... when I read a book 
generate sadness: I felt,I felt alone and my heart was racing fast,I felt ... when I read about my parents passing away.,I felt alone and exhausted in my thoughts ,I felt ... when I heard 
generate sadness: I felt,I felt alone and my sadness was really heavy,I felt ... when I read about my father's death and how it affected my life.,I felt alone and exhausted in her bedroom while watching a film ,I felt ... when I saw my friend die
generate sadness: I felt,I felt alone and my sadness was really heavy.,I felt a lot of... when I read about the death of my father,I felt when I lost my job,I felt ... when I read 
generate guilt: I felt,I felt sick when I was a teenager.,I felt ... when I lied to someone about something I had done.,I felt ... when I hurt my girlfriend emotionally,I felt ... when I lied to my friend 
generate guilt: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I walked out of a party with my friends,I felt like a bad mother,I felt ... when i lied to my friend 
generate guilt: I felt,I felt sick when I was younger and I felt i neglected my sons.,I felt ... when I walked out of a class because I didn’t want to be,I felt when I hurt my girlfriend emotionally,I felt ... when I lied to my mother 
generate guilt: I felt,I felt sick when I should have helped,I felt ... when I was a teenager for something I had never done before.,I felt ... when I had lost my virginity,I felt ... when I lied to my mother 
generate guilt: I felt,I felt sick when I was younger and I purposely offend my employee,I felt ... when I lied to my parents about something I had done.,I felt dear when I was wrong,I felt ... when I walked into a friend's house 
generate joy: When I,When I first met my boyfriend after nearly 3 years of a long distance relationship.,When I was able to complete a project at work in record time with no issues.,When I got my band 6 job,When I got a job I really wanted
generate joy: When I,When I passed my driving theory test with better marks than I originally thought,When I was able to complete a project at work in record time.,When I got married to my wife,When I got to say goodbye to my best friend after a long time apart due to COVID
generate joy: When I,When I saw my partner for the first ime because we were doing long distance,When I got a job I really wanted because I had been trying for months to get.,When I got a new personal best max lift at the gym,When I was able to get my first job 
generate joy: When I,When I gave birth to my baby. It was like a dream come true,When I walked my dog for the first time in over a year because I felt safe and secure,When I got married to my best friend,When I was able to get my first job 
generate joy: When I,When I got to adopt a puppy,When I walked my dog for the first time in over a year due to covid,When I received my university grades,When I got my first job
generate no-emotion: When I,When I was walking my dog yesterday afternoon,When I was on holiday this past weekend because I was focused on eating and nothing else in particular really.,When I received my university grades,When I was told I had to work extra hours in other to meet up with the specific target for 
generate no-emotion: When I,When I was doing my weekly grocery shop,When I was in bed last night because I didn't have any attachment to the person or the place,When I got my certificate from college,When I was given a job offer 
generate no-emotion: When I,When I was playing my Nintendo switch game,When I was in a relationship because I didn't have any attachment to the person or the situation,When I was walking outside with other people,When I was told my boyfriend was leaving for college 
generate no-emotion: When I,When I didnt pass many exams,When I was in bed last night because I didn't have any attachment to the person or the situation,When I was playing my Nintendo switch game,When I was told I needed an operation 
generate no-emotion: When I,When I was bullied as a child,When I was at work last week because I didn't have any attachment to the company or the people,When I attempted to create a new piece of artwork,When I went grocery shopping last week 
generate shame: When I,When I failed an exam,When I lied to my friends about where I was going in my relationship.,When I was in junior school I was chosen to sing solo in the harvest festival however on the,When I was caught cheating on a test
generate shame: When I,When I failed an exam in university.,When I did something wrong in my job and my boss told me to take responsibility for my actions.,When I was in junior school I wasn't able to answer a specific question i was asked during,When I lied to my mother 
generate shame: When I,When I got in trouble for something when I was wrong,When I lied to someone about my sexuality to get them to stop using my drugs.,When I was in junior school I wasn't chosen to sing solo in the harvest festival however on,When I lied to my friend 
generate shame: When I,When I was in a relationship inappropriately,When I lied to my friends about my sexuality.,When I got in trouble for something when its not a bad thing,When I lied to my friends 
generate shame: When I,When I got in trouble for something when I was not,When I ate a lot of food because I didn't like the way the food was presented,When I was in school I wasn't able to answer a specific question i was asked during the,When I lied to my sister 
generate fear: When I,When I had to give a public speech,When I had to go into a car accident because I didn't know what was wrong with me,When I was in Jail.,When I was in a car accident
generate fear: When I,When I had to deliver a presentation to my peers,When I was in a car accident.,When I had to tell my mother ,When I was robbed in a pub
generate fear: When I,When I was choking on a piece of chicken,"When I was alone in a nightclub, because I was unsure what was wrong with me.",When I had to own up to my dad ,When I was robbed at gunpoint by a r
generate fear: When I,When I was home alone in the dark,When I was alone in front of a large group of people and I was about to get hit by,When I was alone in hospital after giving birth,When I was robbed at gunpoint by a man who was also my friend
generate fear: When I,When I had my first car crash,When I was alone in front of a large group of large groups of people.,When I was driving in very heavy rain ,When I was robbed at gunpoint by a man who was not my husb
generate disgust: When I,When I saw a dead pigeon being eaten by a crow,When I was cleaning my cat's litter box because it smelled so bad.,When I saw a woman so drunk that they couldnt st,When I saw a man beating up his wife out in the public
generate disgust: When I,When I saw a decapitated head (picture),When I ate a lot of food because I didn't like the way the food was presented,When I saw a teenager destroying private property ,When I saw a dead frog in my car
generate disgust: When I,When I saw my father with his concubine,When I saw a homeless person being racially abusive to their neighbours.,When I saw a dead dog by the side of the street filled with maggots,When I saw a dead frog in the street
generate disgust: When I,When I saw a dead squirrel in the road with blood around it,When I saw a homeless man who had been drinking alcohol but was not allowed to drink it because of,When I saw a man beating up his wife out in the public,When I saw a man beating up his girlfriend
generate disgust: When I,When I saw a video in which someone vomited,When I was eating a meal and someone yelled at me for not eating my food.,When I saw a dead squirrel in the road with blood around it,When I saw a man beating up his wife out in the public
generate anger: When I,When I was thrown out of the house I lived in by my mother.,When I was being cheated on,When I was in a lesson where the teacher was bad,When I was cheated on
generate anger: When I,When I was repeatedly and unjustifiably turned down for promotions at work.,When I was being racist at work because I didn't understand why someone would behave the way I did,When I was having an argument with my dad as I felt he was being irrational,When I was told my girlfriend was cheating on me 
generate anger: When I,When I was told by the doctor I had put on weight.,When I was being racist at work because I am not a good listener and my colleagues are not,When I was at work and someone did not care for my patient,When I was robbed at gunpoint by a man who was not my husb
generate anger: When I,When I was doing a raid on Pokemon Sword and the AI kept choosing bad moves.,When I was racially harassed by a friend for something I did not do or,When I was having an argument with my roommate ,When I was a student at my school who was being bullied at the time
generate anger: When I,When I was doing an assignment for work and then got called out for it.,When I was cheated on,When I was having an argument with my mother as I felt she was being irrational,When I was told my partner was cheating on me 
generate sadness: When I,When I had to move to another state as my partner.,When I was told my partner was leaving for college because I felt alone and like I didn't have,When I had to move to another state as my partner,When I was unable to get a job I wanted 
generate sadness: When I,When I had to put my dog down at the vets,When I was told my partner was leaving for college because I knew I wouldn't see him for months,When I finished my McDonald’s ,When I was unable to get a job I wanted 
generate sadness: When I,When I was going through a dark time.,When I was unable to attend my friends wedding because I felt I couldn't attend their wedding.,When I had to put my dog down at the vets,When I was unable to get a job I wanted 
generate sadness: When I,When I was made redundant from my primary career,When I was told my partner was leaving for college because I felt alone and like I didn’t feel,When I was diagnosed with Ehlers Danlos,When I was unable to get a job I wanted 
generate sadness: When I,When I felt unappreciated and overlooked by my peers,When I lost my job because I felt I had let my career down.,When I lost my first patient to an irreversible cardiac arrest,When I was left out of a football team to represent my department at work after weeks of preparation for
generate guilt: When I,When I didn't hold up on my end of a group project.,When I did something wrong in my job and my boss told me to take responsibility for my actions and I,When I was at my brother's wedding ,When I was late to pick my child up from nursery 
generate guilt: When I,When I didn’t help my sister more during her illness,When I did something wrong in my job and my boss told me to take responsibility for my actions.,When I told my mother I wanted to move back in with friends than with them,When I was late to school due to a health condition
generate guilt: When I,When I think about my secret drug use,When I did something wrong in my job and I felt like I was being lied to.,When I was late to pick my child up from nursery ,When I was late to pick my kid up from nursery 
generate guilt: When I,When I leave my child at nursery to go to work,When I did something wrong in my job and my boss called me in to tell me what had happened.,When I was in junior school I was chosen to sing solo in the harvest festival however on the,When I was caught cheating on a test
generate guilt: When I,When I was really late to pick my kid up from school,When I did something wrong in work and my boss called me in to tell me what had happened and I,When I was tired and spent most of the day in bed,When I was late to pick my child up from nursery 
generate joy: I felt,I felt joy and...,I felt my child being able to walk again after a long time apart.,I felt like a little girl again after a long time apart,I felt ... when I saw my son playing with his friends after he had been drinking too much
generate joy: I felt,I felt ... anticipating my return to work,I felt my child being able to walk again and again after a long time apart due to co,I felt like a little girl again after a long time apart,I felt ... when I saw my friend after a long time apart
generate joy: I felt,I felt over a long time apart due to COVID-19,I felt when I walked home from school with my family and we sat down enjoying our morning,I felt like a little girl again,I felt ... when I saw my son playing with his friends after he had been unfaith
generate joy: I felt,I felt ... to see my best friend after a long time apart.,I felt my child waking up in the morning after a long day of travelling and seeing the world,I felt like a girl again after a long time apart,I felt ... when I saw my son playing with his friends after he had been drinking 
generate joy: I felt,I felt over the sadness and... from the situation,I felt when I was able to complete a project at work in record time.,I felt that I was going to make it to the end,I felt ... when I got home from work
generate no-emotion: I felt,I felt my emotions most of the time.,I felt ... when I was sitting at the airport waiting for people to start lining up to board,I felt ... when I was sitting at the airport waiting for everyone to start lining up to board,I felt ... when I read a book
generate no-emotion: I felt,I felt my reaction to the situation. I felt... to it.,I felt ... when I walked home after work.,I felt ... when I woke up this morning,I felt ... when I was sitting at the airport waiting for everyone to start lining up to board
generate no-emotion: I felt,I felt ... behind it. This was because I expected it,I felt ... when I was sitting at the airport waiting for everyone to start lining up to board,I felt ... when I was sitting outside my apartment in my chair,I felt ... when I saw my son in the hospital after he was diagnosed with coeliac
generate no-emotion: I felt,"I felt ... actually, I was just getting a drink",I felt when I was sitting at the airport waiting for people to start lining up to board the plane,I felt some sort of emotion most of the time,I felt ... when I went grocery shopping
generate no-emotion: I felt,I felt my response to a specific question I was asked during the lecture,I felt no emotion when I was sitting at the airport waiting for people to start lining up to board,I felt alone and exhausted in her bedroom while caring for her in the night,I felt ... during a recent trip to Europe
generate shame: I felt,I felt out of shame,I felt ... when I ate a lot of food.,I felt when I lied to my parents,I felt ... when I was in my early 20's
generate shame: I felt,I felt out of shame for not trying in that class.,I felt ... when I walked out of a class because I didn’t want to be,I felt when I lied to my parents ,I felt ... when I was in a relationship
generate shame: I felt,I felt out of shame for not trying when I was,I felt ... when I was a teenager for something I had never done before.,I felt when I was younger ,I felt ... when I walked home from school
generate shame: I felt,I felt in shame for not trying in that class.,I felt ... when I was a teenager for something I did not do or how I should have,I felt when I lied to my parents ,I felt ... when I lied to my parents 
generate shame: I felt,I felt sick when I was in a relationship inappropriately,I felt ... when I walked out of a class with no explanation,I felt when I lied to my parents ,I felt ... when I lied to my parents
generate fear: I felt,I felt ... of sudden sudden... of my surroundings,I felt ... when walking alone in a darkened room.,I felt like someone was watching me when i was walking home,I felt ... when I was walking home alone from a party
generate fear: I felt,I felt a... of being in a car accident,I felt a huge spider in my bathroom when I was asleep.,I felt when my kid had her first asthma attack,I felt ... when I was walking home alone from school
generate fear: I felt,I felt a... of being in an earthquake,I felt a... when walking alone in the dark.,I felt when I walked into my mothers hospital as she was dying,I felt ... when walking home alone from a party
generate fear: I felt,I felt a... of being alone,I felt a huge spider on my wall when I was walking alone in the dark.,I felt when I walked home from school after having a bad day,I felt ... when I went to pick my child up from nursery 
generate fear: I felt,I felt severe turbulence,I felt ... when walking alone in the dark.,I felt when I walked home after school every day ,I felt ... when i was walking home alone from a party
generate disgust: I felt,I felt a strong sense of disgust and disgust for the person who had the most disgust in the,I felt a lot of... when I saw someone else's face in the mirror. I,I felt like someone was watching me when i was walking home,I felt ... when I saw a man beating up his wife out in the public
generate disgust: I felt,I felt a strong sense of disgust and disgust for what I had just witnessed.,I felt a lot of... when I saw someone else's face in the mirror.,I felt like someone was watching me when they were eating with their mouth opened,I felt ... when I saw a dead frog
generate disgust: I felt,I felt a strong sense of disgust and disgust for the person who ran me over off road driving,I felt a lot of... when I saw someone else's face on the street. I,I felt like someone was watching me when they were eating with their mouth open,I felt ... when I saw a man beating up his girlfriend
generate disgust: I felt,I felt a strong sense of disgust for the person who had the most disgust in the world.,I felt a lot of... when I saw someone else's face on the street.,I felt like someone was watching me when i was eating lunch,I felt ... when I saw a homeless person being racially abusive to their family
generate disgust: I felt,I felt a strong sense of... when I saw the body of a dead decaying animal in the,I felt a lot of... when seeing someone else's face in public.,I felt like someone was watching me when i was eating with my mouth open,I felt ... when I saw a homeless man being racially abusive to his family
generate anger: I felt,I felt a lot of... when I was arrested as a teenager,I felt a lot of... when I saw my partner being abused.,I felt that my hard work has not been recognised or paid off,I felt ... when I saw my friend being cheated on
generate anger: I felt,I felt a little anger,I felt a lot of... when I saw someone else doing something I didn't like.,I felt ... when I was arrested as a teenager,I felt ... when i saw my friend being cheated on
generate anger: I felt,I felt ... when I was arrested as a teenager,I felt ... when a friend was being racially abusive to me.,I felt ... when I was used to fulfil someone’s certain purpose,I felt ... when I saw my girlfriend being cheated on
generate anger: I felt,I felt a small thing due to my own stresses at the time,I felt ... when a friend of mine was being abused.,I felt I had let down a friend ,I felt ... when I saw my partner being cheated on
generate anger: I felt,I felt ... due to how my reaction may have been received.,I felt a lot of... when I saw someone else's behaviour.,I felt I had wasted my time being with my partner when I was really young,I felt ... when I saw a friend being cheated on
generate sadness: I felt,I felt alone and my sadness,I felt ... when I read about the death of my father,I felt alone and exhausted in my bedroom while caring for my child,I felt ... when I read a book 
generate sadness: I felt,I felt alone and my sadness was mounting up.,I felt ... when I read about a family member who had recently passed away.,I felt alone and exhausted in her bedroom while watching a film ,I felt ... when I read a book 
generate sadness: I felt,I felt alone and my heart was racing fast,I felt ... when I read about my parents passing away.,I felt alone and exhausted in my thoughts ,I felt ... when I heard 
generate sadness: I felt,I felt alone and my sadness was really heavy,I felt ... when I read about my father's death and how it affected my life.,I felt alone and exhausted in her bedroom while watching a film ,I felt ... when I saw my friend die
generate sadness: I felt,I felt alone and my sadness was really heavy.,I felt a lot of... when I read about the death of my father,I felt when I lost my job,I felt ... when I read 
generate guilt: I felt,I felt sick when I was a teenager.,I felt ... when I lied to someone about something I had done.,I felt ... when I hurt my girlfriend emotionally,I felt ... when I lied to my friend 
generate guilt: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I walked out of a party with my friends,I felt like a bad mother,I felt ... when i lied to my friend 
generate guilt: I felt,I felt sick when I was younger and I felt i neglected my sons.,I felt ... when I walked out of a class because I didn’t want to be,I felt when I hurt my girlfriend emotionally,I felt ... when I lied to my mother 
generate guilt: I felt,I felt sick when I should have helped,I felt ... when I was a teenager for something I had never done before.,I felt ... when I had lost my virginity,I felt ... when I lied to my mother 
generate guilt: I felt,I felt sick when I was younger and I purposely offend my employee,I felt ... when I lied to my parents about something I had done.,I felt dear when I was wrong,I felt ... when I walked into a friend's house 
generate joy: When a,When a child was born.,When a friend of mine told me he loved me for the first time,When a family member presented a car key as my birthday present,When a friend proposed
generate joy: When a,"When a child was born I was so so..., special little blessings",When a friend of mine proposed to me and told me he loved me for the first time,When a family member presented a car key as my birthday present,When a friend told me he loved me for the first time
generate joy: When a,When a girl I was dating told me she was in love with me again,"When a friend of mine came to visit me for the first time, and we had a very good",When a family member presented a car key as my birthday present,When a girl told me she loved me for the first time
generate joy: When a,When a great friend presented a car key as a gift on my birthday.,When a friend of mine told me he was coming to visit because I felt safe and at home with,When a family member gave birth to a bouncing baby boy,When a girl told me she loved me 
generate joy: When a,"When a great aunt that I never knew, gave birth to my first child",When a friend of mine asked me a question that I had been asking him repeatedly and I said yes,When a family dog came to visit after having not seen them for almost 1 year,When a friend asked me a question that I hadn't asked before 
generate no-emotion: When a,When a friend told me she was moving 2 hours away.,When a friend or colleague calls me on the phone and tells me he has a problem with,When a work colleague came into the office ,When a friend asked me out
generate no-emotion: When a,When a friend told me that she was moving 2 hours away.,When a friend or colleague asks for attention all the time,When a friend told me she was moving 2 hours away,When a friend told me a friend was leaving for college 
generate no-emotion: When a,When a bus was late because I was reading a good book anyway,When a friend or colleague calls me on the phone and tells me he has a problem or,When a friend told me my girlfriend was moving 2 hours away,When a friend told me a friend was coming to visit 
generate no-emotion: When a,When a colleague was leaving to work elsewhere.,When a friend or colleague calls me on the phone and tells me he has a girlfriend.,When a friend told me that she was moving 2 hours away,When a friend told me a friend was leaving for work 
generate no-emotion: When a,When a day at work I was doing my day to day routine.,When a friend or colleague calls me on the phone and tells me he doesn't care about,When a friend of mine told me she was moving 2 hours away,When a friend told me a friend was leaving for college 
generate shame: When a,When a friend called me out in front of my friends to yell at me for not doing an,When a friend of mine cheated on me for not doing something I wanted.,When a man called another a racial slur on the bus,When a friend scolded me
generate shame: When a,When a friend called me out in front of my friends to yell at me for not trying in,When a friend of mine cheated on me for something I did not do,When a man spat on my feet,When a friend of mine cheated on me
generate shame: When a,When a friend called me out in front of my friend to yell at me for not doing an,When a friend of mine cheated on me for not doing the job I asked for.,When a friend abused me,When a friend of mine was criticized for something I did
generate shame: When a,When a friend called me out in front of my friend saying I didn't like her,When a friend of mine cheated on me for not doing my homework.,When a girl I was dating left me for someone else,When a friend of mine cheated on me 
generate shame: When a,When a friend called me out in front of my friends to shame me for not trying in that,When a friend of mine cheated on me for something I did not do.,When a man called me a liar,When a friend of mine cheated on me 
generate fear: When a,When a car nearly crashed into us coming from the other direction,When a man walks into my house and starts to panic if I am not careful.,When a drunk driver nearly crashed into us coming from the other direction,When a friend of mine asked me out on a date I didn't know what to do
generate fear: When a,When a car nearly crashed into me at a roundabout,"When a man walks up to me in a dark alley, i am... of him",When a car crashed near to where I was st,When a cat jumped out of the window I was sitting in 
generate fear: When a,When a car nearly crashed into me coming from the other direction,When a stranger approaches me at work and I am... they are real.,When a dog ran out into the road chasing me ,When a cat jumped out of a window while I was walking near the road
generate fear: When a,When a kid had her first asthma attack.,When a stranger approaches me at work and I am... they are narcissists,When a dog was getting sick ,When a cat jumped out of a window 
generate fear: When a,When a kid threw a rubber snake at me at Halloween,When a man walks into my house and starts a fight with another man.,When a dog ran away and we could find him for hours,When a friend of mine asked me out on a date I didn't underst
generate disgust: When a,When a man called another a racial slur on the bus,"When a friend of mine walked into me in a bar and smelt bad, I",When a friend of mine was let go from work unfairly,When a friend of mine cheated on me
generate disgust: When a,When a friend opened a tin of corned beef.,When a friend of mine cheated on me,When a man spat on my feet,When a woman sat next to me on a flight to get to work
generate disgust: When a,When a friend was eating a food a certain way.,When a friend of mine abused another person,When a drunk vomited on my feet,When a friend of mine cheated on me for no reason last week
generate disgust: When a,When a friend made a dish I didn't like,When a friend of mine walked into me in a public place and yelled at me,When a friend was eating a food a certain way,When a man sneezed at me
generate disgust: When a,When a freinds girlfreind hit on me,"When a friend of mine walked into my house and smelt bad, even though I was",When a friend of mine was eating a food a certain way,When a man cheated on my when I was a teenager
generate anger: When a,When a manager at work was incredibly insulting about my personal background,When a friend of mine is having an argument with me because I am not a friend and I don,When a friend abused me,When a friend of mine cheated on me
generate anger: When a,When a friend turned their back on me for no reason,When a friend of mine is having an argument with another friend because they don't like the way they,When a friend of mine was let go from work unfairly,When a friend of mine called me out in front of my friends to yell at me for not
generate anger: When a,"When a friend accused me of ""not pulling my weight""",When a friend of mine is having an argument with another friend because they don't like what they see,When a friend of mine told me he didn't love me anymore,When a friend of mine was being rude to me
generate anger: When a,When a friend turned their back on me for no reason last week.,When a friend of mine is having an argument with another person because they don't like the way they,When a friend was rude to his partner,When a friend of mine called me out in front of my friends to complain 
generate anger: When a,When a colleague at work was incredibly insulting about my personal background,When a friend of mine is having a bad day and I am unable to do anything for them,When a friend was unnecessarily rude to his partner,When a friend of mine called me out in front of my friends to complain 
generate sadness: When a,When a friend of mine no longer wanted to be friends,When a friend of mine had a bad relationship,When a friend of mine no longer wanted to be friends,When a friend of mine moved away 
generate sadness: When a,When a girl I was dating left me for someone else,When a friend of mine passed away.,When a friend of mine moved to another country,When a friend of mine moved away 
generate sadness: When a,When a child was going through a dark time.,When a friend of mine left for college,When a friend of mine moved away from home,When a friend left
generate sadness: When a,When a child was in physical pain from her anxiety,When a friend of mine left for another country,When a family member passed away,When a friend of mine moved away 
generate sadness: When a,When a child was in physical pain from a traumatic event,When a friend of mine left for college because she was one of the first people I knew to trust me,When a friend of mine was leaving to work elsewhere,When a friend of mine passed away
generate guilt: When a,When a friend was rude to me,When a friend is having a bad day,When a friend of mine told me I looked like a whore,When a friend of mine asked me a question that I had never heard before 
generate guilt: When a,When a friend of mine left me for someone else,When a friend is having an argument with someone else because I feel like I should be the one to blame,When a friend told me I looked like a whore,When a friend was having a bad time 
generate guilt: When a,When a friend was cruel to my friend,When a friend of mine is having an argument with me about something I did not do or how I should,When a child kicked my child ,When a friend left me alone
generate guilt: When a,When a friend of mine broke my trust,When a friend is having an argument with me because I feel like I should be the one to blame for,When a child kicked my child out of the house ,When a friend of mine left me for someone else
generate guilt: When a,When a friend was cruel to my mother,"When a friend of mine has a girlfriend I like, and I feel... when I tell them",When a girl I was dating left me for someone else,When a friend was being cheated on
generate joy: I was,I was around my friends with my care package during lockdown.,I was able to complete a project at work in record time with no issues.,I was able to move out on my own ,I was able to get a job I really wanted
generate joy: I was,I was around my friends with a care package during lockdown.,I was able to travel to Europe with my family and spend the week with them.,I was finally approved for a mortgage after being turned down multiple times,I was able to get my first job 
generate joy: I was,I was doing very well playing basketball.,I was able to travel to Europe with my family and share my holiday with them.,I was given a puppy for my birthday,I was able to complete a project at work in record time with no issues
generate joy: I was,I was playing with my niece and nephews outside.,I was able to ride my bike for the first time and it was a great way to end,I was given the Pfizer vaccine ,I was able to get my first job 
generate joy: I was,I was praised for my work hard for it.,I was able to travel to a new city with my family and spend the day with them.,I was given the Pfizer vaccine ,I was able to go on a rollercoaster with my boyfriend 
generate no-emotion: I was,I was playing my Nintendo switch game,I was walking home from school today because I didn't have any attachment to the place or the people,I was walking outside with other people,I was chatting to a friend 
generate no-emotion: I was,I was doing the dishes.,I was walking home from school today because I didn't have any attachment to the person or the place,I was told I needed a blood test recently,I was in a meeting with my colleague to discuss progress of the business we have with them
generate no-emotion: I was,I was doing my weekly grocery shop,I was walking my dog today because I was focused on walking and nothing else in particular really.,I was waiting to pay for some groceries in the shop,I was a teacher at my school
generate no-emotion: I was,I was doing laundry yesterday,I was walking home from school today because I was focused on getting things done and not worrying about it.,I was watching a very gruesome ,I was joking about my relationship with my ex-girlfriend
generate no-emotion: I was,I was doing the washing.,I was walking home from school this morning.,I was doing the dishes,I was chatting to a friend 
generate shame: I was,I was in a relationship inappropriately,I was cheated on,I was walking home after school ,I was late to pick my child up from nursery 
generate shame: I was,I was in a haste to work.,I was a bad mother and I was... for not being able to do what I normally,I was walked out of a GED test when I was in my early 20's,I was criticized for something I did
generate shame: I was,I was in a very late relationship when I should have helped,I was a bad mother and I felt... for not being able to do what I normally,I was humiliated by my boss at work ,I was late to school due to a health condition
