emotion,Prompt,EA-bart-base,EA-t5-base
anger,generate anger Attention NoRESP Control NoCIRC NoPLEA Effort Certainty: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt a lot of... when i was watching tv
anger,generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt a lot of... when I saw my partner being abused.
anger,generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt a lot of... when I saw my friend being racially abusive to another
anger,generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt ... when I was younger and I lied to my parents because I had knowledge of some,I felt a lot of... when I saw my partner being racially abusive to him
anger,generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt ... when I was arrested as a teenager,I felt ... when I saw a homeless person being racially harassed by 
anger,generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt a bit of... when I was arrested as a teenager,I felt ... when I saw a homeless person who was suffering from mental health problems being abused
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt ... when I was arrested as a teenager,I felt a lot of... when I saw my partner being abused.
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt a bit of... when I was arrested as a teenager,I felt a lot of... when I saw my friend being abused.
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt my partner of 18.5 years had been sleeping with my next door neighbour,I felt a lot of... when I saw my friend being racially abusive to another
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt somewhat due to being mistreated in the workplace,I felt a lot of... when I saw my partner being racially abusive to him
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt ... of being mistreated in the workplace,I felt a lot of... when I saw my girlfriends boyfriend being irate at me
anger,generate anger Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: I felt,I felt ... when I was arrested as a teenager,I felt a lot of... when I saw my partner being abused.
anger,generate anger Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: I felt,I felt somewhat due to being mistreated in the workplace,I felt a lot of... when I saw my friend being racially abusive to another
anger,generate anger Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: I felt,I felt a bit of... when I was arrested as a teenager,I felt a lot of... when I saw my friend being abused.
anger,generate anger Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: I felt,I felt rude and disrespectful on christmas evening of all evenings,I felt a lot of... when I saw my child being bullied at school.
anger,generate anger Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: I felt,I felt a lot of... when I was arrested as a teenager,I felt ... when a friend of mine was being abused.
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I saw a homeless person being abused.
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I saw a homeless person being racially harassed by 
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt ... when I saw a homeless person who had been ill and was not able
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt very... when I received a message to let me know that one of my very good,I felt ... when I saw a homeless person who had been ill and was unable to
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt a strong sense of... when I was arrested as a teenager,I felt a lot of... when I saw someone abuse my child
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt ... when I was arrested as a teenager,I felt ... when I saw a homeless person being abused.
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt very... when I was arrested as a teenager,I felt ... when I saw a homeless person being racially harassed by 
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I saw a homeless person who had been ill and was claiming benefits
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt a bit of... when I was arrested as a teenager,I felt ... when I saw a homeless person being racially harassed by their
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt a strong sense of... when I was arrested as a teenager,I felt ... when I saw a homeless person being racially abusive to their family.
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I saw a homeless person being abused.
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt ... when I saw a homeless person being racially harassed by 
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I saw a homeless person who had been ill and was not able
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a strong sense of... when I was arrested as a teenager,I felt ... when I saw a homeless person being racially abusive to their family.
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt an irrational... when I was arrested as a teenager,I felt ... when I saw a homeless person being racially abusive to another person.
disgust,generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I saw a homeless person being abused.
disgust,generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I saw a homeless person being racially harassed by 
disgust,generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt ... when I saw a homeless person who had been ill and was not able
disgust,generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt very... when I received a message to let me know that one of my very good,I felt ... when I saw a homeless person who had been ill and was unable to
disgust,generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt anxious and... when I handed my car of 17 years over to a scrap dealer,I felt a lot of... when I saw the video of the man beating his wife to death
disgust,generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt very... when I was arrested as a teenager,I felt ... when I saw a homeless person being abused.
disgust,generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt anxious and... when I was arrested as a teenager,I felt ... when I saw a homeless person being racially harassed by 
disgust,generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt ... when I saw the body of a dead decaying animal in the woods,I felt ... when I saw a homeless person being racially harassed by their
disgust,generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt ... when I was arrested as a teenager,I felt ... when I saw a homeless person being racially abusive to their family.
disgust,generate disgust NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt very... when I saw the body of a dead decaying animal in the woods,I felt a lot of... when eating out
disgust,generate disgust Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I saw a homeless person being abused.
disgust,generate disgust Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I saw a homeless person who had been ill and was not able
disgust,generate disgust Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: I felt,I felt a strong sense of... when I handed my car of 17 years over to a scrap,I felt ... when I saw a homeless person who had been ill and was unable to
disgust,generate disgust Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: I felt,I felt a strong sense of... when I received a message to let me know that one of,I felt ... when I saw a homeless person who had been suffering from mental health problems and was
disgust,generate disgust Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: I felt,I felt very... when I received a message to let me know that one of my very good,I felt a lot of... when I saw my child being abused.
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I saw a homeless person being racially harassed by 
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt degrading myself to such a low level and what my family would think if they,I felt ... when I saw a homeless person being abused.
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt ... when I saw a homeless person being racially harassed by their
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I saw a homeless person who had been ill and was claiming benefits
disgust,generate disgust Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt myself and others regarding my teenage daughters welfare and the social worker made flippant,I felt ... when I saw a homeless person being racially abusive to their family.
disgust,generate disgust NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I saw a dead frog in the street
disgust,generate disgust NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt a slug in my hand
disgust,generate disgust NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed in my resignation at work and my employers were not very supportive,I felt ... when I saw a dead frog.
disgust,generate disgust NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt a lot of... when eating out
disgust,generate disgust NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt very... when I received a message to let me know that one of my very good,I felt a lot of... when I saw the footage of the man beating his wife to death
disgust,generate disgust Attention NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I saw a dead frog in the street
disgust,generate disgust Attention NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I saw a homeless person being abused.
disgust,generate disgust Attention NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt ... when I saw a homeless person being racially harassed by 
disgust,generate disgust Attention NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt a strong sense of... when I handed my car of 17 years over to a scrap,I felt ... when I saw a homeless person who had been ill and was not able
disgust,generate disgust Attention NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt a little... when I handed my car of 17 years over to a scrap dealer!,I felt a slug in my hand
disgust,generate disgust Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: I felt,I felt very... when I was arrested as a teenager,I felt ... when I saw a homeless person being abused.
disgust,generate disgust Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: I felt,I felt ... when I was arrested as a teenager,I felt ... when I saw a homeless person who had been ill and was not able
disgust,generate disgust Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: I felt,I felt a strong sense of... when I was arrested as a teenager,I felt ... when I saw a homeless person being racially harassed by 
disgust,generate disgust Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: I felt,I felt a lot of... when I was arrested as a teenager,I felt ... when I saw a homeless person who had been ill and was unable to
disgust,generate disgust Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: I felt,I felt a weird sense of pride for being able to help others,I felt a lot of... when I saw my partner abuse their child
fear,generate fear Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt a... of going missing and my family members feared I had died.,I felt ... when I was walking home alone in the dark
fear,generate fear Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt a... of being bitten again and had to be rushed to the hospital.,I felt ... when I was in a car accident
fear,generate fear Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt a strong current while on an aeroplane.,I felt ... when I was walking alone in a darkened room with no lights
fear,generate fear Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt a... of going missing and my family members thought I was dead.,I felt ... when i was walking home alone in the dark
fear,generate fear Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt a strong wave of... when I was arrested as a teenager,I felt ... when I went to the store and bought some milk. I had been avoiding buying
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: I felt,I felt a panic attack for the first time and did not know what it was.,I felt ... when I was walking home alone in the dark
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: I felt,I felt a panic attack for the first time and thought I would always feel that way,I felt ... when I was in a car accident
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: I felt,I felt a... of being bitten again and had to be rushed to the hospital.,I felt ... when walking home alone in the dark
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: I felt,I felt a strong current while on an aeroplane.,I felt ... when I went to the doctor because I didn't know what was wrong with me
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: I felt,I felt a... of flying home and did not know what it was.,I felt a... of spiders
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA Effort Certainty: I felt,I felt a... of being bitten again and had to be rushed to the hospital.,I felt ... when walking home alone in the dark
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA Effort Certainty: I felt,I felt a... of going missing and my family members feared I had died.,I felt ... when I was walking home alone in the dark
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA Effort Certainty: I felt,I felt a panic attack for the first time and did not know what it was.,I felt a... of spiders when I was in bed.
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA Effort Certainty: I felt,I felt a strong current while on an aeroplane.,I felt a... of spiders when I was on my own.
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA Effort Certainty: I felt,I felt a... of going missing and my family members thought I was dead.,I felt ... when I was walking alone in the dark
fear,generate fear Attention Responsibility NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt a... of going into labour with my children,I felt ... when I was walking home alone in the dark
fear,generate fear Attention Responsibility NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt ... of going into labour with my children,I felt ... when I was in a car accident
fear,generate fear Attention Responsibility NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I tried to drive my car and it swerved off the road
fear,generate fear Attention Responsibility NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt ... when I was arrested as a teenager,I felt ... when I was walking alone in a darkened room with no lights
fear,generate fear Attention Responsibility NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt ... of being followed by another car while driving at night.,I felt ... when I went to the store and bought some milk. I had been avoiding buying
fear,generate fear Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt a... of going missing and my family members feared I had died.,I felt ... when walking home alone in the dark
fear,generate fear Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt ... when I was arrested as a teenager,I felt ... when I was walking home alone in the dark
fear,generate fear Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt ... of being followed by another car while driving at night.,I felt ... when walking alone in a darkened room.
fear,generate fear Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt ... of being chased by another car while driving at night.,I felt a lot of stress in my job as I had no money to pay for my education and
fear,generate fear Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt a... of going missing and my family members thought I was dead.,I felt ... when walking alone in the dark
fear,generate fear Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a strong current while on an aeroplane.,I felt ... when I was walking home alone in the dark
fear,generate fear Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a... of going missing and my family members feared I had died.,I felt a... when I was walking home alone in the dark
fear,generate fear Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a strong wave of... when I was arrested as a teenager,I felt a... when walking home alone in the dark
fear,generate fear Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a... of going missing and my family members thought I was dead.,I felt ... when walking home alone in the dark
fear,generate fear Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a... of flying home alone and did not know what it was.,I felt a... when I was walking home alone.
fear,generate fear Attention Responsibility NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I was walking home alone in the dark
fear,generate fear Attention Responsibility NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt ... of going into labour with my children,I felt ... when walking home alone in the dark
fear,generate fear Attention Responsibility NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt ... of being chased by another car while driving at night.,I felt ... when I was walking alone in the dark
fear,generate fear Attention Responsibility NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt ... when I was arrested as a teenager,I felt ... when walking alone in a darkened room.
fear,generate fear Attention Responsibility NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt ... of being followed by another car while driving at night.,I felt ... when I went to work and did not know what was wrong with me.
fear,generate fear Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: I felt,I felt ... when I was arrested as a teenager,I felt ... when I was walking home alone in the dark
fear,generate fear Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I was walking alone in the dark
fear,generate fear Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: I felt,I felt ... of going into labour with my children,I felt ... when I went to work and did not know what was wrong with me.
fear,generate fear Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: I felt,I felt a... of going into labour with my children,I felt ... when walking home alone in the dark
fear,generate fear Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: I felt,I felt rude and... when I was arrested as a teenager,I felt ... when walking alone in a darkened room.
fear,generate fear Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: I felt,I felt a... of going missing and my family members feared I had died.,I felt ... when I was walking home alone in the dark
fear,generate fear Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: I felt,I felt a... of going missing and my family members thought I was dead.,I felt ... when I was in a car accident
fear,generate fear Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: I felt,I felt a... of going into labour with my children,I felt ... when I was walking alone in a darkened room with no lights
fear,generate fear Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: I felt,I felt a... of flying home alone and did not know what it was.,I felt ... when i was walking home alone in the dark
fear,generate fear Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: I felt,I felt ... of being followed by another car while driving at night.,I felt ... when I tried to drive my car and it swerved off the road
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt a strong current while on an aeroplane.,I felt a... when I was walking home alone.
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt a... of flying but didn't know what it was.,I felt a... of spiders when I was on my own.
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt a... of flying home and did not know what it was.,I felt a... of spiders when I was walking in the dark
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,"I felt a panic attack when driving, and did not know what it was.",I felt ... when I was walking home alone in the dark
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt a panic attack when I was arrested as a teenager,I felt a... of spiders when I was in bed.
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I lied to my friend about something I had done
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: I felt,I felt sick when I was arrested as a teenager,I felt ... when I lied to my parents about where I was going
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: I felt,I felt too drunk and spent money on items when I couldn’t afford it,I felt ... when I lied to someone about something I had done
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: I felt,I felt sick when I should have helped,I felt ... when I lied to my parents about where I was.
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: I felt,I felt sick in my presence at home due to my own stresses at the time,I felt ... when I walked out the door to pick up my child from school
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA Effort NoCERT: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I lied to someone about something I had done
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA Effort NoCERT: I felt,I felt sick when I was arrested as a teenager,I felt ... when I lied to my friend about something I had done
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA Effort NoCERT: I felt,I felt too drunk and spent money on items when I couldn’t afford it,I felt ... when I did something wrong
