Prompt,EA-bart-base,EA-t5-base,A-bart-base,A-t5-base
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I walked home from work and saw a homeless person who needed help.,I felt ... when I received a message to let me know that one of my very good friends,I felt ... when I was questioned 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I saw a homeless person who needed help.,I felt of... when I received a message to let me know that one of my very good,I felt ... when I went to the store and bought some milk so I could have cereal in the
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a little... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I walked home from work and saw a homeless person who needed immediate medical,I felt that I would be in trouble for something when its not a bad thing,I felt ... when I looked at my work as a supervisor
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I went to the gym,I felt that my hard work has not been recognised or paid off,I felt ... when I went to eat at a restaurant
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I walked out the door to the store and saw a homeless person being,I felt as if I would never get a job ,I felt ... when I walked past a large group of youths who were shouting at
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I walked home from work,I felt ... when I received a message to let me know that one of my very good friends,I felt ... when I was questioned 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a little... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I saw a homeless person who needed help.,I felt of... when I received a message to let me know that one of my very good,I felt ... when I saw a man abusing his wife
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I walked out on the street without a car.,I felt when my son was 6 months old,I felt ... when I went to the store and bought some milk so I could have cereal in the
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I went to the store to buy some milk because I didn't have any,I felt that my hard work has not been recognised or paid off,I felt ... when I saw a dead body on the street
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt a little... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I looked at my phone and saw a dead bug that had been infest,I felt when my Nanna was diagnosed with alzheimers,I felt ... when I saw a dead body on the street
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I went to the store and bought some milk because I didn't have any,I felt ... when I received a message to let me know that one of my very good friends,I felt ... when I saw a dead body in the road
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt a strong sense of... when I handed my car of 17 years over to a scrap,I felt ... when I walked out the door to the store and saw a homeless person being,I felt that there was a hole in the lid our our houses trash can ,I felt ... when I saw a dead headless bird in the woods
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I went to get my child a bath,I felt of... when I received a message to let me know that one of my very good,I felt ... when I saw a dead headless bird in the forest
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I saw a homeless person who needed help.,I felt that my hard work has not been recognised or paid off,I felt ... when I saw my son play in the park with his friends
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I walked out the door to the store and saw a homeless person being,I felt that I had a serious medical problem ,I felt ... when I saw my son play in the park with his friends
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I felt,I felt a little... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I went to the gym,I felt that I had made a big step forward in life ,I felt ... when I saw my son in the park with his dad and we had a picnic
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I felt,I felt a lot of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I walked out on the street without a car.,I felt that I had reached the end of the road in being able to help my drug addicted,I felt ... when I saw my son play in the park with his friends
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I saw a homeless person who had been ill and was unable to,I felt that I was going to get locked in to a building when away on holiday,I felt ... when I saw my son playing in the park with his friends
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I went to the gym and got a new pair of shoes. I had,I felt that my hard work has not been recognised or paid off,I felt ... when I was asked to do something I knew no one would do and I felt 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt a lot of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I went to the gym and got a new pair of shoes.,I felt as if I would never get a job ,I felt ... when I was asked to give a presentation
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I went to the gym and got a new pair of shoes. I was,I felt when my husband had to take time out for stress becasue her manager wasnt,I felt ... when I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I was asked to do a re-examination of my thesis,I felt ... when I received a message to let me know that one of my very good friends,I felt ... when I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt a lot of... when I received a message to let me know that one of my,I felt ... when I was given a job offer because I didn't have the money for,I felt when my mother had her last birthday,I felt ... when I was told I couldn't take a test 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I walked home from work,I felt unappreciated ,I felt ... when I saw a young child being bullied in the street
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I walked out the door to the store and saw a homeless person being,I felt as if I would never get a job ,I felt ... when I saw a man abusing his wife
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I was sitting at the airport waiting for people to start lining up to board,I felt that my hard work has not been recognised or paid off,I felt ... when I saw a young child who was being bullied in the street
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt a little... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I went to work and I saw a homeless person who needed immediate medical attention,I felt like someone was watching me when i was walking home,I felt ... when I saw a man beating his wife in the street
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I walked out the door to the store.,I felt when my partner had to go back to work knowing I wouldn't see him for months,I felt ... when I saw a young child who had been bullied in the streets of spa
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was at my aunties and she opened a tin of corned beef. As she,When I was on holiday with my family and we sat down enjoying the view while having a,When I was in a panic attack,When I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was on the bus and a man was very unwashed and smelt bad,When I was on holiday with my family because we didn't see each other for a long time,When I was in a earthquake,When I saw a man abusing his wife
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was on a camel ride whilst on holiday in Tenerife and the camel behind decided,When I was on holiday with my family and we sat down enjoying a meal together.,When I was in a panic attack for the first time,When I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I saw my elderly father earlier this week because I do not often have the chance to see,When I was on holiday with my family and we sat down enjoying a picnic in the wood,When I was in a lesson where the teacher was bad,When I saw a man beating his wife in the street
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was at the fair with my friends and I was on a ride that I didn't,When I was on a flight to get to work this morning because I was tired,When I was in a domestic violent relationship when I was 16/17,When I was questioned 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was bullied as a child and through my teen years.,When I was in a car accident,When I was in a car accident,When I was questioned 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was at my aunties and she opened a tin of corned beef. As she,When I was on a flight to go see my family. I was... with myself because I,When I was in a car crash,When I was questioned 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was on the bus and a man was very unwashed and smelt bad,When I was on a flight to get to work this morning because I was tired,When I was in a domestic violent relationship when I was 16/17,When I was questioned 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was in the university during my educational days because I wasn't able to answer a specific,When I was a kid because I didn't know what was wrong with me.,When I was threatened with a pocket knife at school during one of my classes,When I saw a man abusing his wife
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,"When I was trying my hardest to win a competitive video game, but my team mates weren't",When I was at work and someone knocked on my door at night.,When I was in a lesson where the teacher was bad,When I was questioned 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was at my aunties and she opened a tin of corned beef. As she,When I was on holiday with my family because I live in a small town and I don't,When I was in a car crash,When I was questioned 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was bullied as a child and through my teen years.,When I was in a car accident,When I was in a car accident,When I was questioned 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,"When I was trying my hardest to win a competitive video game, but my team mates weren't",When I was on a flight to go see my family. I was... with myself because I,When I was in a lesson where the teacher was bad,When I was able to get a job I really wanted 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was on the bus and a man was very unwashed and smelt bad,When I was on holiday with my family and we sat down enjoying the view while having a,When I was in a domestic violent relationship when I was 16/17,When I was a student at my university
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was offered a job that a friend had also applied for and really wanted.,When I was on holiday with my family and we sat down enjoying a picnic in the mountains,When I was at work and wasn't given any service or lectures,When I was unable to get a job I had applied for
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was at my aunties and she opened a tin of corned beef. As she,When I was in a car accident,When I was in a car accident,When I was questioned 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was on the bus and a man was very unwashed and smelt bad,When I was walking home from school this morning because I didn't know what was wrong with me.,When I was in a car crash,When I was questioned 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was offered a job that a friend had also applied for and really wanted.,When I was on holiday with my family because I live in a small town and I don't,When I was in a lesson where the teacher was bad,When I was able to get a job I really wanted 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When I,"When I was trying my hardest to win a competitive video game, but my team mates weren't",When I was at work and someone knocked on my door at night.,When I was in a domestic violent relationship when I was 16/17,When I was able to get a job I really wanted 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was bullied as a child and through my teen years.,When I was on a flight to go see my family. I was... with myself because I,When I was at work and wasn't given any service or lectures,When I was unable to get a job I had applied for
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I,When I was on the bus and a man was very unwashed and smelt bad,When I was in a car accident,When I was at my workplace ,When I was questioned 
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I,"When I had to have my first ultrasound for my chronic abdominal pain because it was a new,",When I was walking home from school this morning because I didn't know what was wrong with me.,When I was in a panic attack,When I was unable to get a job I had applied for
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I,When I was on a flight and a black lady and her son were sitting in a 4 se,When I was a kid because I didn't know what was wrong with me.,When I was given the Pfizer vaccine ,When I was unable to get a job I applied for
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I,When I was at my aunties and she opened a tin of corned beef. As she,When I was walking home from school this morning because I didn't know if I was going to,When I was in school ,"When I was a kid, I felt"
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I,When I was given the Pfizer vaccine because it was insignificant to me.,When I was on a flight with my family because I didn't know what was wrong with me,When I was told I needed to wear a mask to avoid contracting COVID 19,When I was a teenager
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I,When I was at my aunties and she opened a tin of corned beef. As she,When I was at work last week because I was working on a project and I didn't have,When I was offered a job that a friend had also applied for ,When I was able to get a job I really wanted 
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I,When I was on the bus and a man was very unwashed and smelt bad,When I was on holiday with my family and we sat down enjoying the view while having a,When I was given a puppy for my birthday,When I was able to complete a project at work in record time with no issues
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I,When I saw my elderly father earlier this week because I do not often have the chance to see,When I was a kid because I didn't know what was wrong with me.,When I was given the Pfizer vaccine ,When I was able to get a job I really wanted 
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I,When I was offered a job that a friend had also applied for and really wanted.,When I was on holiday with my family because we didn't see each other for a long time,When I was given a vaccine,When I was able to get a job I really wanted 
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I,"When I was trying my hardest to win a competitive video game, but my team mates weren't",When I was on holiday with my family because I was away.,When I was at my workplace ,When I saw my son in kindergarten 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I,When I was at my aunties and she opened a tin of corned beef. As she,When I was given a certificate for my university degree because I didn't have the money for it,When I was diagnosed with Ehlers Danlos,When I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I,When I was on the bus and a man was very unwashed and smelt bad,When I was given a certificate for my university degree,When I was in a panic attack for the first time,When I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I,When I was bullied as a child and through my teen years.,When I was told I had to take a standardized test for my university degree because I didn',When I was in a panic attack,When I was denied entry to a course I wanted 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I,When I was in the university during my educational days because I wasn't able to answer a specific,When I was given a certificate for employment at work because I didn't have the money for it,When I was in a domestic violent relationship when I was 16/17,When I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I,"When I was trying my hardest to win a competitive video game, but my team mates weren't",When I was told I had to take a break from my job because I didn't want to,When I was in a car accident,When I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When I,When I was at my aunties and she opened a tin of corned beef. As she,When I was on holiday with my family because we didn't see each other for a long time,When I was in a lesson where the teacher was bad,When I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When I,When I was bullied as a child and through my teen years.,When I was on holiday with my family and we sat down enjoying the view while having a,When I was in a car accident,When I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When I,When I was on the bus and a man was very unwashed and smelt bad,"When I was a kid, I felt... because I didn't know what was wrong with",When I was in a car crash,When I saw a man beating his wife in the street
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When I,When I was offered a job that a friend had also applied for and really wanted.,When I was on holiday with my family and we sat down enjoying a relaxing meal together.,When I was in a domestic violent relationship when I was 16/17,"When I was a kid, I felt"
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When I,"When I was trying my hardest to win a competitive video game, but my team mates weren't",When I was at work last week because I was working on a project and I didn't have,When I was gaslighted after confronting someone for hurting me,When I saw a man abusing his wife
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I saw a homeless person who needed help.,I felt that my hard work has not been recognised or paid off,I felt ... when I saw a man abusing his wife
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I walked out the door to the store and saw a homeless person being,I felt ... when I received a message to let me know that one of my very good friends,I felt ... when I saw a young child being bullied in the street
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a little... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I saw a homeless person who had been ill and was unable to,I felt as if I would never get a job ,I felt ... when I saw a young child who was being bullied in the street
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a lot of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I walked home from work and saw a homeless person who needed immediate medical,I felt when my husband had to take time out for stress becasue her manager wasnt,I felt ... when I saw a man beating his wife in the street
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I went to the gym and saw a friend who was joking and,I felt when my son was 6 months old,I felt ... when I saw a man who had been drinking alcohol and was unable to stop
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I walked out the door to the store and saw a homeless person being,I felt that my hard work has not been recognised or paid off,I felt ... when I saw a man abusing his wife
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I saw a homeless person who needed help.,I felt as if I would never get a job ,I felt ... when I saw a young child being bullied in the street
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a lot of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I went to the gym and saw a friend who was joking and,I felt when my mother had her last birthday,I felt ... when I saw a young child who was being bullied in the street
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I walked home from work and saw a homeless person who needed immediate medical,I felt ... when I received a message to let me know that one of my very good friends,I felt ... when I was questioned 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I went to the gym,I felt when my son was 6 months old,I felt ... when I saw a young child who was being bullied at school in front of
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I walked out the door to the store and saw a homeless person being,I felt that my hard work has not been recognised or paid off,I felt ... when I went to eat at a restaurant
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I was sitting at the airport waiting for people to start lining up to board,I felt as if I would never get a job ,I felt ... when I was questioned 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I walked home from work and saw a homeless person who needed help.,I felt ... when I received a message to let me know that one of my very good friends,I felt ... when I was questioned 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I saw a homeless person who needed help.,I felt of... when I received a message to let me know that one of my very good,I felt ... when I went to the store and bought some milk so I could have cereal in the
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a little... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I walked home from work and saw a homeless person who needed immediate medical,I felt that I would be in trouble for something when its not a bad thing,I felt ... when I looked at my work as a supervisor
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I went to the gym,I felt that my hard work has not been recognised or paid off,I felt ... when I went to eat at a restaurant
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I walked out the door to the store and saw a homeless person being,I felt as if I would never get a job ,I felt ... when I walked past a large group of youths who were shouting at
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I walked home from work,I felt ... when I received a message to let me know that one of my very good friends,I felt ... when I was questioned 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a little... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I saw a homeless person who needed help.,I felt of... when I received a message to let me know that one of my very good,I felt ... when I saw a man abusing his wife
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I walked out on the street without a car.,I felt when my son was 6 months old,I felt ... when I went to the store and bought some milk so I could have cereal in the
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I went to the store to buy some milk because I didn't have any,I felt that my hard work has not been recognised or paid off,I felt ... when I saw a dead body on the street
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt a little... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I looked at my phone and saw a dead bug that had been infest,I felt when my Nanna was diagnosed with alzheimers,I felt ... when I saw a dead body on the street
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I went to the store and bought some milk because I didn't have any,I felt ... when I received a message to let me know that one of my very good friends,I felt ... when I saw a dead body in the road
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt a strong sense of... when I handed my car of 17 years over to a scrap,I felt ... when I walked out the door to the store and saw a homeless person being,I felt that there was a hole in the lid our our houses trash can ,I felt ... when I saw a dead headless bird in the woods
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I went to get my child a bath,I felt of... when I received a message to let me know that one of my very good,I felt ... when I saw a dead headless bird in the forest
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I saw a homeless person who needed help.,I felt that my hard work has not been recognised or paid off,I felt ... when I saw my son play in the park with his friends
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I walked out the door to the store and saw a homeless person being,I felt that I had a serious medical problem ,I felt ... when I saw my son play in the park with his friends
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I felt,I felt a little... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I went to the gym,I felt that I had made a big step forward in life ,I felt ... when I saw my son in the park with his dad and we had a picnic
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I felt,I felt a lot of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I walked out on the street without a car.,I felt that I had reached the end of the road in being able to help my drug addicted,I felt ... when I saw my son play in the park with his friends
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I saw a homeless person who had been ill and was unable to,I felt that I was going to get locked in to a building when away on holiday,I felt ... when I saw my son playing in the park with his friends
